Date,Open,High,Low,Close,Adj Close,Volume
1986-12-22,0.750000,0.758929,0.732143,41.000000,0.732143,148540000
1986-12-29,0.732143,0.741071,0.716518,40.875000,0.729911,129808000
1987-01-05,0.736607,0.816964,0.732143,45.375000,0.810268,382480000
1987-01-12,0.812500,0.917411,0.794643,48.750000,0.870536,475731200
1987-01-19,0.870536,0.995536,0.854911,50.250000,0.897321,650720000
1987-01-26,0.892857,1.022321,0.883929,55.500000,0.991071,528080000
1987-02-02,0.991071,1.002232,0.944196,54.000000,0.964286,319194400
1987-02-09,0.944196,1.116071,0.921875,62.125000,1.109375,471828000
1987-02-16,1.109375,1.203125,1.082589,61.250000,1.093750,346141600
1987-02-23,1.087054,1.274554,1.064732,70.000000,1.250000,516880000
1987-03-02,1.254464,1.258929,1.156250,67.250000,1.200893,448974400
1987-03-09,1.187500,1.214286,1.133929,63.500000,1.133929,304500000
1987-03-16,1.133929,1.245536,1.116071,68.250000,1.218750,336722400
1987-03-23,1.214286,1.223214,1.156250,65.000000,1.160714,266352800
1987-03-30,1.133929,1.283482,1.111607,71.750000,1.281250,517025600
1987-04-06,1.276786,1.299107,1.205357,70.250000,1.254464,308700000
1987-04-13,1.250000,1.308036,1.187500,71.500000,1.276786,311634400
1987-04-20,1.276786,1.379464,1.241071,74.750000,1.334821,386170400
1987-04-27,1.325893,1.428571,1.308036,80.000000,1.428571,346220000
1987-05-04,1.419643,1.468750,1.392857,79.000000,1.410714,256267200
1987-05-11,1.375000,1.419643,1.339286,78.250000,1.397321,265731200
1987-05-18,1.397321,1.401786,1.294643,74.125000,1.323661,260366400
1987-05-25,1.330357,1.437500,1.321429,79.000000,1.410714,144194400
1987-06-01,1.419643,1.419643,1.375000,77.750000,1.388393,169159200
1987-06-08,1.388393,1.433036,1.370536,79.000000,1.410714,175565600
1987-06-15,1.410714,1.517857,1.357143,82.000000,1.464286,313880000
1987-06-22,1.473214,1.544643,1.428571,40.500000,1.446429,154333200
1987-06-29,1.446429,1.464286,1.419643,40.625000,1.450893,105543200
1987-07-06,1.455357,1.491071,1.303571,38.000000,1.357143,256852400
1987-07-13,1.392857,1.598214,1.383929,43.250000,1.544643,242695600
1987-07-20,1.535714,1.553571,1.446429,42.500000,1.517857,122144400
1987-07-27,1.517857,1.535714,1.446429,41.250000,1.473214,101774400
1987-08-03,1.464286,1.687500,1.428571,46.500000,1.660714,179639600
1987-08-10,1.723214,1.794643,1.633929,49.000000,1.750000,202792800
1987-08-17,1.767857,1.919643,1.723214,53.000000,1.892857,191438800
1987-08-24,1.892857,1.910714,1.839286,52.000000,1.857143,168434000
1987-08-31,1.866071,1.973214,1.785714,50.500000,1.803571,202949600
1987-09-07,1.794643,1.982143,1.732143,54.500000,1.946429,149520000
1987-09-14,1.955357,1.973214,1.821429,51.750000,1.848214,123127200
1987-09-21,1.848214,2.071429,1.794643,57.500000,2.053571,206474800
1987-09-28,2.053571,2.098214,1.937500,58.499996,2.089286,177564800
1987-10-05,2.089286,2.133929,1.901786,54.125000,1.933036,217560000
1987-10-12,1.937500,1.955357,1.696429,48.250000,1.723214,347200000
1987-10-19,1.723214,1.723214,1.165179,35.500000,1.267857,540680000
1987-10-26,1.232143,1.535714,0.986607,38.625000,1.379464,485240000
1987-11-02,1.383929,1.410714,1.223214,37.750000,1.348214,294560000
1987-11-09,1.321429,1.428571,1.285714,37.250000,1.330357,257320000
1987-11-16,1.348214,1.375000,1.187500,35.500000,1.267857,288120000
1987-11-23,1.267857,1.348214,1.241071,35.000000,1.250000,114399600
1987-11-30,1.205357,1.232143,1.062500,30.750000,1.098214,325920000
1987-12-07,1.107143,1.294643,1.107143,34.000000,1.214286,259000000
1987-12-14,1.232143,1.473214,1.223214,40.500000,1.446429,399840000
1987-12-21,1.446429,1.535714,1.437500,42.625000,1.522321,139566000
1987-12-28,1.508929,1.562500,1.410714,42.000000,1.500000,155400000
1988-01-04,1.526786,1.651786,1.410714,40.000000,1.428571,401800000
1988-01-11,1.428571,1.607143,1.419643,42.875000,1.531250,373240000
1988-01-18,1.535714,1.544643,1.366071,39.250000,1.401786,505120000
1988-01-25,1.410714,1.491071,1.383929,41.500000,1.482143,275240000
1988-02-01,1.491071,1.517857,1.375000,38.625000,1.379464,237160000
1988-02-08,1.375000,1.482143,1.348214,41.000000,1.464286,208600000
1988-02-15,1.464286,1.526786,1.428571,41.750000,1.491071,161291200
1988-02-22,1.482143,1.562500,1.473214,41.750000,1.491071,207065600
1988-02-29,1.491071,1.678571,1.482143,46.875000,1.674107,314720000
1988-03-07,1.669643,1.705357,1.589286,45.750000,1.633929,205240000
1988-03-14,1.633929,1.660714,1.580357,44.750000,1.598214,232850800
1988-03-21,1.584821,1.593750,1.428571,40.125000,1.433036,251834800
1988-03-28,1.428571,1.500000,1.383929,40.000000,1.428571,243880000
1988-04-04,1.419643,1.513393,1.375000,41.000000,1.464286,221480000
1988-04-11,1.491071,1.508929,1.375000,39.500000,1.410714,221760000
1988-04-18,1.419643,1.482143,1.392857,40.125000,1.433036,220833200
1988-04-25,1.437500,1.500000,1.428571,41.000000,1.464286,160409200
1988-05-02,1.455357,1.540179,1.446429,41.250000,1.473214,152003600
1988-05-09,1.473214,1.473214,1.410714,40.500000,1.446429,125344800
1988-05-16,1.446429,1.500000,1.375000,38.750000,1.383929,193684400
1988-05-23,1.375000,1.428571,1.334821,39.750000,1.419643,157794000
1988-05-30,1.428571,1.544643,1.419643,43.000000,1.535714,165480000
1988-06-06,1.526786,1.625000,1.526786,44.500000,1.589286,295400000
1988-06-13,1.607143,1.642857,1.580357,44.750000,1.598214,191556400
1988-06-20,1.584821,1.638393,1.566964,45.000000,1.607143,135965200
1988-06-27,1.589286,1.674107,1.589286,46.500000,1.660714,149716000
1988-07-04,1.660714,1.696429,1.607143,45.250000,1.616071,118000400
1988-07-11,1.625000,1.625000,1.580357,45.000000,1.607143,108883600
1988-07-18,1.620536,1.642857,1.517857,42.500000,1.517857,152191200
1988-07-25,1.526786,1.589286,1.508929,44.375000,1.584821,143894800
1988-08-01,1.589286,1.633929,1.571429,44.250000,1.580357,109911200
1988-08-08,1.589286,1.598214,1.491071,42.500000,1.517857,132826400
1988-08-15,1.508929,1.544643,1.446429,40.750000,1.455357,177450000
1988-08-22,1.437500,1.455357,1.401786,40.250000,1.437500,156769200
1988-08-29,1.455357,1.468750,1.375000,39.750000,1.419643,194630800
1988-09-05,1.428571,1.464286,1.348214,40.500000,1.446429,191122400
1988-09-12,1.464286,1.526786,1.428571,42.250000,1.508929,198951200
1988-09-19,1.500000,1.580357,1.473214,43.750000,1.562500,133327600
1988-09-26,1.562500,1.580357,1.517857,43.250000,1.544643,133420000
1988-10-03,1.535714,1.544643,1.370536,39.750000,1.419643,222745600
